ast,cno,title,cont
pyiw,326,"Reading Assessment Quiz 1 MLK",0.00
pkii,326,"Reading Assessment Quiz 2 HTA",0.014705882352941176
qcel,326,"Reading Assessment Quiz 3 FLP",0.014705882352941176
mubt,326,"Reading Assessment Quiz 4 ASC",0.014705882352941176
tcme,326,"Reading Assessment Quiz 5 DEL",0.014705882352941176
sguq,326,"Reading Assessment Quiz 6 JSM",0.014705882352941176
uzjs,326,"Reading Assessment Quiz 7 DOS",0.014705882352941176
xsqz,326,"Reading Assessment Quiz 8 KNT",0.014705882352941176
bkal,326,"Reading Assessment Quiz 9 NOZ",0.014705882352941176
nadd,326,"Reading Assessment Quiz 10 JPS",0.014705882352941176
zfuk,326,"Reading Assessment Quiz 11 RWL",0.014705882352941176
nkev,326,"Reading Assessment Quiz 12 CTH",0.014705882352941176
spmi,326,"Reading Assessment Quiz 13 MRX",0.014705882352941176
tiqo,326,"Reading Assessment Quiz 14 PRL",0.014705882352941176
bldo,326,"Reading Assessment Quiz 15 AVC",0.014705882352941176
xnrh,326,"Reading Assessment Quiz 16 MFD",0.014705882352941176
hrdu,326,"Reading Assessment Quiz 17 FSH",0.014705882352941176
lbvx,326,"Reading Assessment Quiz 18 BAR",0.014705882352941176
mnll,326,"Essay 1",0.25
nvxk,326,"Final Exam",0.25
bemh,326,"Final Essay",0.25
tcbq,326,"Attendance",0.05
