title,authorLN,authorFN,authorID,year,pages,country,repetition,gender,language
Apologie des Sokrates,Plato,Plato,pplato,1991,61,GRE,0,1,d
Bruederlein und Schwesterlein,Drewermann,Eugen,edrewermann,1991,87,BRD,0,1,d
Ein Kind,Bernhard,Thomas,tbernhard,1991,176,AUT,0,1,d
Moby Dick,Melville,Herman,hmelville,1991,583,USA,0,1,d
Napoleon,Peach,Du-Garde,dpeach,1991,34,GBR,0,1,e
Der Goldene Vogel,Drewermann,Eugen,edrewermann,1991,63,BRD,0,1,d
100 Fragen zur Bibel,Peters,Benedikt,bpeters,1991,200,BRD,0,1,d
Der Besuch der alten Dame,Duerrenmatt,Friedrich,fduerrenmatt,1991,152,SUI,0,1,d
Nineteen Eighty-Four,Orwell,George,gorwell,1991,247,GBR,0,1,e
Adam und der Affe,Berry,Robert J.,rberry,1991,224,GBR,0,1,d
Ausgewaehlte Gedichte,Lenau,Nikolaus,nlenau,1991,78,AUT,0,1,d
The Moon Is Down,Steinbeck,John,jsteinbeck,1991,142,USA,0,1,e
Edvard Munch,Bischoff,Ulrich,ubischoff,1991,96,BRD,0,1,d
The Catcher in the Rye,Salinger,Jerome D.,jsalinger,1991,288,USA,0,1,e
Ratschlaege fuer Seelengewinner,Spurgeon,Charles,cspurgeon,1991,232,GBR,0,1,d
Geboren um zu sterben,Graham,Billy,bgraham,1991,60,USA,0,1,d
Alkestis,Euripides,Euripides,eeuripides,1991,88,GRE,0,1,d
Die Buddenbrooks,Mann,Thomas,tmann,1991,729,BRD,0,1,d
Im Wendekreis des Krebses,Miller,Henry,hmiller,1991,251,USA,0,1,d
Fakten ueber das Christentum,McDowell and Stewa,Josh and Don,jmcdowell,1991,224,USA,0,1,d
Der vergessene Befehl Seid heilig!,McDonald,William,wmcdonald,1991,197,USA,0,1,d
Leben wir in der Endzeit,Bergmann,Gerhard,gbergmann,1991,72,BRD,0,1,d
Das Bilderbuch Gottes,Thielicke,Helmut,hthielicke,1991,304,BRD,0,1,d
Die Kaelte Eine Isolation,Bernhard,Thomas,tbernhard,1991,160,AUT,0,1,d
Die Alkestiade,Wilder,Thornton,twilder,1991,134,USA,0,1,d
Der Zauberberg,Mann,Thomas,tmann,1991,1008,BRD,0,1,d
Die Ursache Eine Andeutung,Bernhard,Thomas,tbernhard,1991,160,AUT,0,1,d
In der Welt habt ihr Angst,Wedemayer,Max,mwedemayer,1991,125,BRD,0,1,d
Zu wenig Gerechte,Weinzierl,Erika,eweinzierl,1991,224,AUT,0,0,d
Ich glaube an den Heiligen Geist,Stott,John,jstott,1991,111,GBR,0,1,d
Warum laesst Gott es zu,Wilder-Smith,A. Ernest,awilder-smith,1991,62,USA,0,1,d
Man nennt mich Mutter Graham,Coffey Graham,Morrow,mcoffey,1991,61,USA,0,0,d
Der Abituriententag,Werfel,Franz,fwerfel,1991,168,AUT,0,1,d
Wie koennen wir denn leben,Shaeffer,Francis,fshaeffer,1991,302,USA,0,1,d
Wissen Sie was Leben ist,Warren,Norman,warren,1991,60,USA,0,1,d
The Hound of the Baskervilles,Doyle,Arthur Conan,adoyle,1991,204,GBR,0,1,e
Liebeskunst,Ovidius Naso,Publius,povidius,1991,144,ITA,0,1,d
12 Engel aus der Hoelle,Wilkerson,David,dwilkerson,1991,172,USA,0,1,d
Haiders Kampf,Scharsach,Hans Henning,hscharsach,1992,236,AUT,0,1,d
Mary Poppins,Travers,PL,ptravers,1992,157,GBR,0,0,e
Die letzte Versuchung,Katzantzakis,Nikos,nkatzantzakis,1992,470,GRE,0,1,d
Evangelist Johannes,Hemberger,Johannes,jhemberger,1992,150,BRD,0,1,d
Jenseits des Schweigenden Sterns,Lewis,Clives Sta,clewis,1992,156,GBR,0,1,d
Albert Einstein,Bernstein,Jeremy,jbernstein,1992,194,USA,0,1,d
Die Kapuzinergruft,Roth,Joseph,jroth,1992,138,AUT,0,1,d
The Unbearable Lightness of Being,Kundera,Milan,mkundera,1992,314,TCH,0,1,e
Die Kreuzersonate,Tolstoj,Leo,ltolstoj,1992,208,RUS,0,1,d
Via Mala,Knittel,John,jknittel,1992,639,SUI,0,1,d
Maria Stuart,Zweig,Stefan,szweig,1992,394,AUT,0,1,d
Segen der Erde,Hamsun,Knut,khamsun,1992,392,NOR,0,1,d
Tagebuecher 1920--21,Nin,Anais,anin,1992,366,USA,0,0,d
Die 40 Tage des Musa Dagh,Werfel,Franz,fwerfel,1992,870,AUT,0,1,d
Fruechte des Zorns,Steinbeck,John,jsteinbeck,1992,512,USA,0,1,d
Mara Marignan,Miller,Henry,hmiller,1992,19,USA,0,1,d
Die Bibel,Yhwh,Yhwh,yyhwh,1992,1143,ISR,0,1,d
Das Beichtsiegel,Bergengruen,Werner,wbergengruen,1992,63,LET,0,1,d
Schoepfung und Fall Versuchung,Bonhoeffer,Dietrich,dbonhoeffer,1992,158,BRD,0,1,d
Der Gehuelfe,Walser,Robert,rwalser,1992,294,SUI,0,1,d
Mit brennender Geduld,Skarmeta,Antonio,askarmeta,1992,150,CHL,0,1,d
Thomas Muentzer,Wehr,Gerhard,gwehr,1992,141,BRD,0,1,d
Der Mann mit der Ledertasche,Bukowski,Charles,cbukowski,1992,172,USA,0,1,d
Die folgende Geschichte,Noteboom,Cees,cnoteboom,1992,147,NED,0,1,d
Der Prozess,Kafka,Franz,fkafka,1992,185,AUT,0,1,d
Warum ich kein Christ bin,Russell,Bertrand,brussell,1992,266,GBR,0,1,d
Ausgewaehlte Schriften,Luther,Martin,mluther,1992,190,BRD,0,1,d
August Weltumsegler,Hamsun,Knut,khamsun,1992,425,NOR,0,1,d
Kasimir und Karoline,Horvath,OEdoen von,ohorvath,1992,159,AUT,0,1,d
Oliver Twist,Dickens,Charles,cdickens,1992,191,GBR,0,1,d
Radetzkymarsch,Roth,Joseph,jroth,1992,244,AUT,0,1,d
Der Schimmelreiter,Storm,Theodor,tstorm,1992,123,BRD,0,1,d
Taufe Wiedergeburt Bekehrung,Rost,erhard,grost,1992,148,BRD,0,1,d
King Lear,Shakespeare,William,wshakespeare,1992,30,GBR,0,1,d
Das 20 Jahrhundert 1918--45,Parker,RAC,rparker,1992,358,GBR,0,1,d
Der Sieg geht weiter,Wunderlich,Berta Isse,bwunderlich,1992,70,BRD,0,0,d
Das ABC der Relativitaetstheorie,Russell,Bertrand,brussell,1992,173,GBR,0,1,d
David Livingstone,Ruppert,Helmut,hruppert,1992,119,BRD,0,1,d
Of Mice and Men,Steinbeck,John,jsteinbeck,1992,88,USA,0,1,e
Chronik eines angekuendigten Todes,Marquez,Gabriel Ga,gmarquez,1992,149,COL,0,1,d
Mond ueber Manhattan,Auster,Paul,pauster,1992,382,USA,0,1,d
Beyond Personality,Lewis,Clives Sta,clewis,1992,64,GBR,0,1,e
Madita,Lindgren,Astrid,alindgren,1992,144,SWE,0,0,d
Kleine Weltgeschichte der Philosoph,Stoerig,Hans Joach,hstoerig,1992,687,BRD,0,1,d
Treasure Island,Stevenson,Robert Lou,rstevenson,1992,231,GBR,0,1,e
Das Laecheln am Fusse der Leiter,Miller,Henry,hmiller,1992,80,USA,0,1,d
Maigret und sein Revolver,Simenon,Georges,gsimenon,1992,164,FRA,0,1,d
Maigret und sein Toter,Simenon,Georges,gsimenon,1992,175,FRA,0,1,d
Clippings from My Notebook,Boom,Corrie ten,cboom,1992,109,NED,0,0,e
The Challenge of Missions,Smith,Oswald J.,osmith,1992,127,USA,0,1,e
Basic Christianity,Stott,John,jstott,1992,142,GBR,0,1,e
Plexus,Miller,Henry,hmiller,1992,472,USA,0,1,d
Stille Tage in Clichy,Miller,Henry,hmiller,1992,90,USA,0,1,d
Schlechte Verlierer,Bukowski,Charles,cbukowski,1992,127,USA,0,1,d
Komm heim!,Busch,Wilhelm,wbusch,1992,144,BRD,0,1,d
Freiheit aus dem Evangelium,Busch,Wilhelm,wbusch,1992,60,BRD,0,1,d
The Good Earth,Buck,Pearl S.,pbuck,1992,318,USA,0,0,e
Mozart sein Charakter,Einstein,Alfred,aeinstein,1992,114,BRD,0,1,d
In der Seelsorge Gottes,Busch,Wilhelm,wbusch,1992,112,BRD,0,1,d
Der junge Mann Luther,Erikson,Erik,eerikson,1992,295,USA,0,1,d
Warten auf Godot,Beckett,Samuel,sbeckett,1992,116,IRL,0,1,d
Dies ist mein Volk,Eban,Abba,aeban,1992,423,ISR,0,1,d
Schuld und Suehne,Dostojewski,Fjodor,fdostojewski,1992,731,RUS,0,1,d
Jennifers Traeume,Kaschnitz,Marie Luis,mkaschnitz,1992,93,AUT,0,0,d
Das Kalkwerk,Bernhard,Thomas,tbernhard,1992,211,AUT,0,1,d
Plaudereien in meinem Studierzimmer,Busch,Wilhelm,wbusch,1992,288,BRD,0,1,d
Hamlet oder Die lange Nacht nimmt ein Ende,Doeblin,Alfred,adoeblin,1992,394,BRD,0,1,d
Kaputt in Hollywood,Bukowski,Charles,cbukowski,1992,142,USA,0,1,d
Ronja Raeubertochter,Lindgren,Astrid,alindgren,1993,237,SWE,0,0,d
Lady Chatterley,Lawrence,David Herbert,dlawrence,1993,280,GBR,0,1,d
Henry Miller,Schmiele,Walter,wschmiele,1993,172,BRD,0,1,d
Der Berg der Stummen,Giono,Jean,jgiono,1993,124,FRA,0,1,d
Hieronymus Bosch,Bosing,Walter,wbosing,1993,96,BRD,0,1,d
Moses,Neher,Andre,aneher,1993,160,BRD,0,1,d
Der Keller---eine Entziehung,Bernhard,Thomas,tbernhard,1993,120,AUT,0,1,d
Andorra,Frisch,Max,mfrisch,1993,127,SUI,0,1,d
Hieronymus Bosch,Schuder,Rosemarie,rschuder,1993,250,AUT,0,0,d
Warum ich nicht religioes bin,Hallesby,Ole,ohallesby,1993,156,USA,0,1,d
Welt und Traum des Hieronymus Bosch,Schuder,Rosemarie,rschuder,1993,167,AUT,0,0,d
Pieter Brueghel der AEltere,Delevoy,Robert,rdelevoy,1993,131,BEL,0,1,d
Netzkarte,Nadolny,Sten,snadolny,1993,163,BRD,0,1,d
Der Seewolf,London,Jack,jlondon,1993,221,USA,0,1,d
