Session,Campus,Student Number,Subject,Course,Section,Percent Grade,Standing,Standing Reason
2022S,UBC,73627077,PHIL,375A,1,,,
2022S,UBC,27397421,PHIL,375A,1,,,
2022S,UBC,33241019,PHIL,375A,1,,,
2022S,UBC,97714976,PHIL,375A,1,,,
2022S,UBC,19909522,PHIL,375A,1,,,
2022S,UBC,42623306,PHIL,375A,1,,,
2022S,UBC,31888431,PHIL,375A,1,,,
2022S,UBC,82091455,PHIL,375A,1,,,
2022S,UBC,77049898,PHIL,375A,1,,,
2022S,UBC,27307339,PHIL,375A,1,,,
2022S,UBC,30161814,PHIL,375A,1,,,
2022S,UBC,79235719,PHIL,375A,1,,,
2022S,UBC,99239642,PHIL,375A,1,,,
2022S,UBC,80437940,PHIL,375A,1,,,
2022S,UBC,28761799,PHIL,375A,1,,,
2022S,UBC,37896917,PHIL,375A,1,,,
2022S,UBC,82345117,PHIL,375A,1,,,
2022S,UBC,39453360,PHIL,375A,1,,,
2022S,UBC,39908355,PHIL,375A,1,,,
2022S,UBC,65726713,PHIL,375A,1,,,
2022S,UBC,91319939,PHIL,375A,1,,,
2022S,UBC,75790980,PHIL,375A,1,,,
2022S,UBC,71161244,PHIL,375A,1,,,
2022S,UBC,22885628,PHIL,375A,1,,,
2022S,UBC,99017899,PHIL,375A,1,,,
2022S,UBC,52491586,PHIL,375A,1,,,
2022S,UBC,40379166,PHIL,375A,1,,,
2022S,UBC,81004772,PHIL,375A,1,,,
2022S,UBC,53838678,PHIL,375A,1,,,
2022S,UBC,38426516,PHIL,375A,1,,,
2022S,UBC,66231754,PHIL,375A,1,,,
2022S,UBC,81789018,PHIL,375A,1,,,
2022S,UBC,48465041,PHIL,375A,1,,,
2022S,UBC,50217298,PHIL,375A,1,,,
2022S,UBC,94983749,PHIL,375A,1,,,
2022S,UBC,59219527,PHIL,375A,1,,,
2022S,UBC,93081255,PHIL,375A,1,,,
2022S,UBC,52856812,PHIL,375A,1,,,
2022S,UBC,53639084,PHIL,375A,1,,,
2022S,UBC,79862355,PHIL,375A,1,,,
2022S,UBC,30518310,PHIL,375A,1,,,
2022S,UBC,72948847,PHIL,375A,1,,,
2022S,UBC,31257033,PHIL,375A,1,,,
2022S,UBC,73750903,PHIL,375A,1,,,
2022S,UBC,47130190,PHIL,375A,1,,,
2022S,UBC,85154854,PHIL,375A,1,,,
2022S,UBC,50741602,PHIL,375A,1,,,
2022S,UBC,87522918,PHIL,375A,1,,,
2022S,UBC,48709159,PHIL,375A,1,,,
2022S,UBC,57844268,PHIL,375A,1,,,
2022S,UBC,88101886,PHIL,375A,1,,,
2022S,UBC,32998205,PHIL,375A,1,,,
2022S,UBC,22173397,PHIL,375A,1,,,
2022S,UBC,79874830,PHIL,375A,1,,,
2022S,UBC,35311125,PHIL,375A,1,,,
2022S,UBC,18496018,PHIL,375A,1,,,
2022S,UBC,86002110,PHIL,375A,1,,,
2022S,UBC,47240429,PHIL,375A,1,,,
2022S,UBC,47707195,PHIL,375A,1,,,
2022S,UBC,78865573,PHIL,375A,1,,,
2022S,UBC,55693444,PHIL,375A,1,,,
2022S,UBC,95078424,PHIL,375A,1,,,
2022S,UBC,85615573,PHIL,375A,1,,,
2022S,UBC,17009144,PHIL,375A,1,,,
2022S,UBC,22213623,PHIL,375A,1,,,
2022S,UBC,17557760,PHIL,375A,1,,,
2022S,UBC,27610260,PHIL,375A,1,,,
2022S,UBC,22250328,PHIL,375A,1,,,
2022S,UBC,44818177,PHIL,375A,1,,,
2022S,UBC,34099135,PHIL,375A,1,,,
2022S,UBC,40747941,PHIL,375A,1,,,
