ast,sdc,mark
dqfe,369773,6.67
dqfe,542150,80
dqfe,373971,80
dqfe,658468,26.67
dqfe,946387,73.33
dqfe,505926,48.87
dqfe,127232,0
dqfe,911293,100
dqfe,377866,80
dqfe,387235,46.67
dqfe,467599,73.33
dqfe,519908,86.67
dqfe,734480,0
dqfe,346223,100
dqfe,995874,60
dqfe,770733,70
dqfe,559338,100
dqfe,598061,80
dqfe,253839,93.33
dqfe,531022,73.33
dqfe,481992,46.67
dqfe,145065,93.33
dqfe,683139,100
dqfe,380881,86.67
dqfe,128970,100
dqfe,123574,86.67
dqfe,958376,93.33
dqfe,418441,100
dqfe,521522,83.33
dqfe,222278,86.67
dqfe,847811,93.33
dqfe,231800,88.33
dqfe,127890,86.67
dqfe,756598,80
dqfe,247967,0
dqfe,592100,86.67
dqfe,445278,66.67
dqfe,193426,80
dqfe,278226,80
eqqr,925104,97.92
eqqr,836671,97.25
eqqr,979951,82.33
eqqr,310780,90.25
eqqr,869196,73.17
eqqr,233385,88.33
eqqr,555922,69.83
eqqr,517185,73.5
eqqr,748462,95.83
eqqr,431713,72.5
eqqr,553852,83.08
eqqr,258163,83.75
eqqr,993047,98.33
eqqr,405672,64.42
eqqr,584645,20.83
eqqr,363790,100
eqqr,194196,90.25
purz,925104,92.27
purz,836671,86.82
purz,979951,68.05
purz,310780,78.5
purz,869196,79.41
purz,233385,81.82
purz,555922,72.41
purz,517185,84.68
purz,748462,96.82
purz,431713,73.18
purz,553852,88.5
purz,258163,90
purz,993047,86.23
purz,405672,62.73
purz,584645,54.09
purz,363790,76.36
purz,194196,68.7
zteo,127890,75
zteo,995874,90.91
zteo,418441,100
zteo,481992,73.18
zteo,445278,73.86
zteo,958376,79.55
zteo,542150,88.64
zteo,377866,87.27
zteo,373971,94.55
zteo,734480,55.59
zteo,123574,66.36
zteo,278226,85.45
zteo,911293,79.55
zteo,658468,65
zteo,380881,76.36
zteo,231800,76.5
zteo,127232,0
zteo,756598,73.86
zteo,247967,0
zteo,145065,82.27
zteo,847811,95.45
zteo,521522,67.95
zteo,531022,69.45
zteo,592100,6.82
zteo,467599,46.59
zteo,505926,3.77
zteo,598061,82.05
zteo,519908,54.77
zteo,946387,94.32
zteo,683139,79.91
zteo,193426,78.64
zteo,770733,77.73
zteo,346223,65.91
zteo,222278,88.86
zteo,369773,0
zteo,128970,98.18
zteo,387235,72.73
zteo,559338,90.91
zteo,253839,100
knny,544648,90
knny,493108,90
knny,562825,90
knny,158944,90
knny,573207,90
knny,371223,90
knny,436680,90
knny,930798,90
knny,273575,90
knny,780300,90
knny,134688,90
knny,338368,90
knny,463227,90
knny,630282,90
knny,808860,0
knny,229929,90
knny,896090,90
knny,598268,90
knny,455606,90
knny,627640,90
knny,465581,90
knny,602868,90
knny,678996,90
knny,290746,90
knny,557431,90
knny,434276,0
knny,609770,90
knny,559164,90
knny,985341,95
knny,562377,90
knny,587273,90
knny,650411,90
knny,828249,90
knny,465921,90
knny,372850,90
knny,561448,95
knny,444660,90
knny,508193,95
knny,336564,90
knny,325237,90
knny,801861,90
knny,190975,95
knny,128056,90
knny,207419,90
knny,294113,90
knny,617195,90
knny,630094,90
knny,749394,90
knny,411804,90
knny,562248,95
knny,790087,90
knny,463502,90
knny,939896,90
knny,974870,90
knny,313584,90
knny,118717,90
knny,477847,90
knny,867373,95
knny,612420,90
knny,857630,90
knny,286557,95
knny,430803,90
knny,925738,0
knny,648748,90
knny,564108,95
knny,876088,90
knny,610744,0
knny,842469,90
qrfq,127890,60
qrfq,995874,93.33
qrfq,418441,100
qrfq,481992,60
qrfq,445278,60
qrfq,958376,66.67
qrfq,542150,75.53
qrfq,377866,93.33
qrfq,373971,83.33
qrfq,734480,10
qrfq,123574,82.2
qrfq,278226,13.33
qrfq,911293,80
qrfq,658468,65.53
qrfq,380881,67.8
qrfq,231800,71.13
qrfq,127232,0
qrfq,756598,86.67
qrfq,247967,0
qrfq,145065,76.67
qrfq,847811,97.8
qrfq,521522,75.53
qrfq,531022,72.2
qrfq,592100,40
qrfq,467599,48.87
qrfq,505926,0
qrfq,598061,93.33
qrfq,519908,66.67
qrfq,946387,66.67
qrfq,683139,93.33
qrfq,193426,86.67
qrfq,770733,93.33
qrfq,346223,67.8
qrfq,222278,86.67
qrfq,369773,0
qrfq,128970,100
qrfq,387235,43.33
qrfq,559338,95.53
qrfq,253839,93.33
qdhd,836671,86.67
qdhd,979951,56.67
qdhd,748462,75.53
qdhd,993047,91.13
qdhd,194196,64.47
qdhd,584645,57.8
qdhd,517185,77.8
qdhd,553852,93.33
qdhd,555922,53.33
qdhd,258163,64.47
qdhd,925104,93.33
qdhd,431713,60
qdhd,363790,83.33
qdhd,310780,75.53
qdhd,405672,61.13
qdhd,233385,82.2
qdhd,869196,45.53
pbif,836671,70.83
pbif,979951,66
pbif,748462,91.67
pbif,993047,90.25
pbif,194196,88.17
pbif,584645,37.5
pbif,517185,79.17
pbif,553852,90.25
pbif,555922,0
pbif,258163,0
pbif,925104,81.25
pbif,431713,79.17
pbif,363790,72.25
pbif,310780,90.25
pbif,405672,54.17
pbif,233385,77.75
pbif,869196,79.83
svah,127890,0
svah,995874,76.42
svah,418441,93.08
svah,481992,76.42
svah,445278,80.58
svah,958376,63.92
svah,542150,83.33
svah,377866,97.25
svah,373971,79.17
svah,734480,72.92
svah,123574,80.58
svah,278226,87.5
svah,911293,72.25
svah,658468,54.17
svah,380881,63.17
svah,231800,87.5
svah,127232,0
svah,756598,56.92
svah,247967,0
svah,145065,95.83
svah,847811,91
svah,521522,45.17
svah,531022,91.67
svah,592100,45.17
svah,467599,16
svah,505926,0
svah,598061,100
svah,519908,69.42
svah,946387,91.67
svah,683139,72.25
svah,193426,91.67
svah,770733,0
svah,346223,63.92
svah,222278,66.67
svah,369773,0
svah,128970,93.08
svah,387235,53.5
svah,559338,76.42
svah,253839,68.08
mlnq,925104,55
mlnq,836671,82
mlnq,979951,39
mlnq,310780,100
mlnq,869196,100
mlnq,233385,92
mlnq,555922,47
mlnq,517185,71
mlnq,748462,100
mlnq,431713,79
mlnq,553852,100
mlnq,258163,37
mlnq,993047,100
mlnq,405672,55
mlnq,584645,68
mlnq,363790,79
mlnq,194196,58
dacg,127890,23.68
dacg,995874,78.95
dacg,418441,94.74
dacg,481992,57
dacg,445278,50.68
dacg,958376,78.58
dacg,542150,78.05
dacg,377866,72.79
dacg,373971,88.26
dacg,734480,60.53
dacg,123574,68.42
dacg,278226,83.68
dacg,911293,86.47
dacg,658468,39.11
dacg,380881,37.89
dacg,231800,38.79
dacg,127232,0
dacg,756598,58.26
dacg,247967,0
dacg,145065,78.95
dacg,847811,72.47
dacg,521522,21.05
dacg,531022,55.95
dacg,592100,7
dacg,467599,0
dacg,505926,0
dacg,598061,79.63
dacg,519908,89.74
dacg,946387,75.95
dacg,683139,75.95
dacg,193426,71.95
dacg,770733,0
dacg,346223,42.74
dacg,222278,84.21
dacg,369773,0
dacg,128970,89.89
dacg,387235,48.58
dacg,559338,83
dacg,253839,83
ponz,369773,0
ponz,542150,78
ponz,373971,53
ponz,658468,55
ponz,946387,63
ponz,505926,0
ponz,127232,42
ponz,911293,90
ponz,377866,73
ponz,387235,47
ponz,467599,20
ponz,519908,60
ponz,734480,60
ponz,346223,60
ponz,995874,85
ponz,770733,63
ponz,559338,98
ponz,598061,90
ponz,253839,108
ponz,531022,68
ponz,481992,73
ponz,145065,68
ponz,683139,95
ponz,380881,58
ponz,128970,98
ponz,123574,83
ponz,958376,108
ponz,418441,100
ponz,521522,63
ponz,222278,68
ponz,847811,70
ponz,231800,45
ponz,127890,55
ponz,756598,83
ponz,247967,42
ponz,592100,65
ponz,445278,55
ponz,193426,68
ponz,278226,83
yjcq,836671,82.5
yjcq,979951,0
yjcq,748462,71.7
yjcq,993047,72.5
yjcq,194196,59.2
yjcq,584645,17.5
yjcq,517185,48.3
yjcq,553852,96.7
yjcq,555922,0
yjcq,258163,85
yjcq,925104,86.7
yjcq,431713,75.8
yjcq,363790,93.3
yjcq,310780,75.8
yjcq,405672,86.7
yjcq,233385,80.8
yjcq,869196,34.2
eump,127890,0
eump,995874,58.31
eump,418441,93.75
eump,481992,90.63
eump,445278,31.25
eump,958376,90.63
eump,542150,100
eump,377866,93.75
eump,373971,87.5
eump,734480,0
eump,123574,90.63
eump,278226,58.31
eump,911293,87.5
eump,658468,73.94
eump,380881,45.81
eump,231800,87.5
eump,127232,0
eump,756598,78.13
eump,247967,0
eump,145065,81.25
eump,847811,87.5
eump,521522,87.5
eump,531022,81.25
eump,592100,40.63
eump,467599,37.5
eump,505926,0
eump,598061,93.75
eump,519908,81.25
eump,946387,87.5
eump,683139,93.75
eump,193426,93.75
eump,770733,0
eump,346223,50
eump,222278,40.63
eump,369773,0
eump,128970,100
eump,387235,46.88
eump,559338,59.38
eump,253839,87.5
nnuc,836671,66
nnuc,979951,0
nnuc,748462,90
nnuc,993047,80
nnuc,194196,70
nnuc,584645,81.7
nnuc,517185,0
nnuc,553852,66.7
nnuc,555922,0
nnuc,258163,80
nnuc,925104,86.7
nnuc,431713,55
nnuc,363790,75
nnuc,310780,80
nnuc,405672,0
nnuc,233385,88
nnuc,869196,20
scaf,836671,73.3
scaf,979951,0
scaf,748462,76.7
scaf,993047,81.7
scaf,194196,35
scaf,584645,50
scaf,517185,50.8
scaf,553852,69.2
scaf,555922,0
scaf,258163,19.2
scaf,925104,57.1
scaf,431713,40
scaf,363790,52.5
scaf,310780,73.3
scaf,405672,0
scaf,233385,89.2
scaf,869196,57.1
rzgq,127890,53.57
rzgq,995874,75
rzgq,418441,100
rzgq,481992,78.57
rzgq,445278,71.43
rzgq,958376,82.14
rzgq,542150,21.43
rzgq,377866,100
rzgq,373971,100
rzgq,734480,0
rzgq,123574,92.86
rzgq,278226,0
rzgq,911293,100
rzgq,658468,53.57
rzgq,380881,78.57
rzgq,231800,64.29
rzgq,127232,0
rzgq,756598,89.29
rzgq,247967,0
rzgq,145065,21.43
rzgq,847811,85.71
rzgq,521522,28.57
rzgq,531022,50
rzgq,592100,89.29
rzgq,467599,0
rzgq,505926,0
rzgq,598061,85.71
rzgq,519908,50
rzgq,946387,50
rzgq,683139,96.43
rzgq,193426,78.57
rzgq,770733,0
rzgq,346223,64.29
rzgq,222278,89.29
rzgq,369773,0
rzgq,128970,100
rzgq,387235,60.71
rzgq,559338,100
rzgq,253839,100
