ast_k1,sdc,sc_k2
fvxa,104618,80
fvxa,104891,0
fvxa,109220,0
fvxa,117939,0
fvxa,120912,0
fvxa,123875,80
fvxa,133826,60
fvxa,136541,100
fvxa,152692,100
fvxa,159842,0
fvxa,171109,60
fvxa,171477,100
fvxa,214934,100
fvxa,217056,80
fvxa,227667,0
fvxa,230494,60
fvxa,251974,100
fvxa,252398,40
fvxa,262192,100
fvxa,273825,80
fvxa,274293,60
fvxa,284514,40
fvxa,300556,100
fvxa,302588,20
fvxa,326959,60
fvxa,327137,100
fvxa,329294,80
fvxa,331329,0
fvxa,373901,60
fvxa,374400,100
fvxa,374526,60
fvxa,377532,100
fvxa,408620,80
fvxa,424276,0
fvxa,427093,40
fvxa,437672,100
fvxa,451220,100
fvxa,464214,0
fvxa,471871,40
fvxa,473266,80
fvxa,479675,40
fvxa,480843,100
fvxa,488081,80
fvxa,507497,100
fvxa,519678,0
fvxa,520944,80
fvxa,524203,80
fvxa,529445,60
fvxa,539865,60
fvxa,551028,60
fvxa,553009,0
fvxa,573322,80
fvxa,586981,100
fvxa,591716,60
fvxa,596235,40
fvxa,599647,0
fvxa,599697,0
fvxa,601465,0
fvxa,605009,100
fvxa,620063,0
fvxa,624831,0
fvxa,629220,40
fvxa,631199,100
fvxa,637153,0
fvxa,653801,0
fvxa,655715,40
fvxa,670452,60
fvxa,685939,80
fvxa,722106,100
fvxa,734042,100
fvxa,734739,100
fvxa,739244,0
fvxa,758592,40
fvxa,767173,100
fvxa,769815,60
fvxa,772634,40
fvxa,781936,40
fvxa,782903,60
fvxa,805101,80
fvxa,813434,0
fvxa,829577,80
fvxa,837888,60
fvxa,844462,60
fvxa,854333,100
fvxa,855762,80
fvxa,868366,0
fvxa,904274,100
fvxa,911815,80
fvxa,935063,0
fvxa,962740,100
fvxa,975179,100
yqoq,104618,80
yqoq,104891,0
yqoq,109220,0
yqoq,117939,0
yqoq,120912,0
yqoq,123875,80
yqoq,133826,100
yqoq,136541,100
yqoq,152692,100
yqoq,159842,0
yqoq,171109,80
yqoq,171477,100
yqoq,214934,80
yqoq,217056,80
yqoq,227667,0
yqoq,230494,80
yqoq,251974,100
yqoq,252398,0
yqoq,262192,80
yqoq,273825,80
yqoq,274293,0
yqoq,284514,60
yqoq,300556,100
yqoq,302588,60
yqoq,326959,80
yqoq,327137,100
yqoq,329294,60
yqoq,331329,0
yqoq,373901,40
yqoq,374400,100
yqoq,374526,100
yqoq,377532,100
yqoq,408620,80
yqoq,424276,0
yqoq,427093,80
yqoq,437672,100
yqoq,451220,100
yqoq,464214,0
yqoq,471871,40
yqoq,473266,100
yqoq,479675,80
yqoq,480843,80
yqoq,488081,80
yqoq,507497,80
yqoq,519678,0
yqoq,520944,100
yqoq,524203,100
yqoq,529445,80
yqoq,539865,60
yqoq,551028,60
yqoq,553009,0
yqoq,573322,80
yqoq,586981,100
yqoq,591716,80
yqoq,596235,100
yqoq,599647,0
yqoq,599697,0
yqoq,601465,0
yqoq,605009,100
yqoq,620063,0
yqoq,624831,0
yqoq,629220,80
yqoq,631199,100
yqoq,637153,0
yqoq,653801,0
yqoq,655715,40
yqoq,670452,80
yqoq,685939,80
yqoq,722106,100
yqoq,734042,100
yqoq,734739,80
yqoq,739244,0
yqoq,758592,40
yqoq,767173,100
yqoq,769815,60
yqoq,772634,100
yqoq,781936,80
yqoq,782903,100
yqoq,805101,100
yqoq,813434,0
yqoq,829577,80
yqoq,837888,80
yqoq,844462,80
yqoq,854333,80
yqoq,855762,100
yqoq,868366,0
yqoq,904274,80
yqoq,911815,100
yqoq,935063,40
yqoq,962740,100
yqoq,975179,80
